,ticker,date,time,headline,neg,neu,pos,compound
60,AMZN,2020-07-09,08:46PM,SoftBank-Backed Coupang Buys Hooq Assets to Take on Netflix,0.0,0.825,0.175,0.1779
61,AMZN,2020-07-09,06:21PM,The Nasdaq Will Fall Someday. Today Was Not That Day.,0.0,1.0,0.0,0.0
62,AMZN,2020-07-09,06:01PM,Exclusive: Amazon plans at least $100 million to keep Zoox talent after $1.3 billion deal,0.0,0.667,0.333,0.6124
63,AMZN,2020-07-09,05:55PM,The Anatomy of a Dip: How to Buy Low in Today's Markets,0.174,0.826,0.0,-0.2732
64,AMZN,2020-07-09,05:42PM,Nasdaq Closes With 0.53% Gain Thursday,0.0,0.595,0.405,0.5267
65,AMZN,2020-07-09,05:34PM,Nasdaq Refuses to Lose as Costco Sales Soar; Amazon Settles for New Record High,0.165,0.732,0.104,-0.25
66,AMZN,2020-07-09,05:18PM,"Market Recap: Thursday, July 9",0.0,1.0,0.0,0.0
67,AMZN,2020-07-09,04:50PM,Stock Market Today: Another Split Market as Jobs Concerns Grow,0.0,1.0,0.0,0.0
68,AMZN,2020-07-09,04:37PM,"US STOCKS-Dow, S&P 500 fall on fears over virus resurgence but Nasdaq ends at record high",0.112,0.888,0.0,-0.2263
69,AMZN,2020-07-09,04:29PM,GLOBAL MARKETS-Stocks succumb to shutdown fears but China charges on,0.363,0.637,0.0,-0.5499
70,AMZN,2020-07-09,04:27PM,Runup in Tech Mega-Caps Sows Doubt Before Key Earnings,0.238,0.762,0.0,-0.3612
71,AMZN,2020-07-09,04:02PM,AWS Announces General Availability of AWS IoT SiteWise,0.0,1.0,0.0,0.0
72,AMZN,2020-07-09,04:00PM,"US STOCKS-Dow, S&P 500 end lower on fears over surging virus cases but Nasdaq hits record high",0.189,0.811,0.0,-0.3612
73,AMZN,2020-07-09,03:45PM,Why AMC Networks Stock Was Gaining Today,0.0,0.682,0.318,0.4215
74,AMZN,2020-07-09,03:19PM,GLOBAL MARKETS-Stocks succumb to shutdown fears but China charges on,0.363,0.637,0.0,-0.5499
75,AMZN,2020-07-09,03:11PM,"US STOCKS-Dow, S&P 500 fall on fears over surging virus cases",0.219,0.781,0.0,-0.4215
76,AMZN,2020-07-09,02:49PM,People Are Interested in Walmarts Prime Service. Thats Bad News for Amazon.,0.207,0.533,0.26,-0.0258
77,AMZN,2020-07-09,02:04PM,How a possible GOP proposal may slash taxes for big tech: ITEP,0.174,0.826,0.0,-0.2732
78,AMZN,2020-07-09,01:35PM,Online Grocery Sales jump amid pandemic,0.0,1.0,0.0,0.0
79,AMZN,2020-07-09,01:18PM,"US STOCKS-Dow, S&P 500 slip on fears over surging virus cases",0.219,0.781,0.0,-0.4215
80,AMZN,2020-07-09,01:13PM,Why Netflix Looks Set to Surge Past Guidance Again,0.0,1.0,0.0,0.0
81,AMZN,2020-07-09,12:33PM,Why You Need This Stock on Your Radar,0.0,1.0,0.0,0.0
82,AMZN,2020-07-09,12:00PM,"Nokia launches data centre networking tools, developed with Apple",0.0,1.0,0.0,0.0
83,AMZN,2020-07-09,11:36AM,Look out below! Warren Buffett just dropped to his lowest ranking ever on the Bloomberg Billionaires Index,0.153,0.847,0.0,-0.4389
84,AMZN,2020-07-09,11:34AM,Walmart to Compete Head-On With Amazon,0.0,0.746,0.254,0.1779
85,AMZN,2020-07-09,11:12AM,"Google, Amazon funnel $25M to misinformation sites: study",0.228,0.495,0.277,-0.128
86,AMZN,2020-07-09,10:53AM,"Moody's  Supermarkets see record sales for 2020 as coronavirus spurs food shopping frenzy, but gains will not last",0.08,0.771,0.149,0.3506
87,AMZN,2020-07-09,10:42AM,Here's What Walmart's Latest Challenge to Amazon Prime Must Do to Succeed,0.0,0.592,0.408,0.6369
88,AMZN,2020-07-09,10:18AM,U.S. has not yet decided how it will retaliate to France digital tax -Mnuchin,0.0,1.0,0.0,0.0
89,AMZN,2020-07-09,10:10AM,How to Ride on a Soaring Amazon With ETFs,0.0,0.805,0.195,0.1779
90,AMZN,2020-07-09,10:05AM,Better Buy: Amazon vs. PepsiCo,0.0,0.395,0.605,0.5574
91,AMZN,2020-07-09,09:10AM,Is Amazon's Dominance Under Threat Due to Walmart & Others?,0.279,0.574,0.148,-0.3818
92,AMZN,2020-07-09,09:06AM,U.S. Sees Worst Single-Day Coronavirus Spike: Buy This Stock to Protect Against Another Crash,0.333,0.539,0.127,-0.6369
93,AMZN,2020-07-09,08:40AM,3 Top Cloud Computing Stocks to Buy Right Now,0.0,0.795,0.205,0.2023
94,AMZN,2020-07-09,08:24AM,Can Walmart's New Subscription Plan Beat Amazon Prime?,0.0,0.805,0.195,0.1779
95,AMZN,2020-07-09,08:16AM,INSIGHT-A space odyssey: Britain rockets into unknown with OneWeb,0.0,1.0,0.0,0.0
96,AMZN,2020-07-09,08:15AM,Why Searching for Cheap Stocks Is the Wrong Investing Strategy,0.256,0.744,0.0,-0.4767
97,AMZN,2020-07-09,08:15AM,"3 Streaming Media Stocks That Turned $10,000 into $1,000,000",0.0,1.0,0.0,0.0
98,AMZN,2020-07-09,08:14AM,"Dow Jones Futures: Apple, Amazon Lead Coronavirus Stock Market Rally; Tesla 'Very Close' To Full Self-Driving, Musk Claims",0.0,0.909,0.091,0.1779
99,AMZN,2020-07-09,08:00AM,5 COVID-19 Beneficiary Stocks at All-Time High: ETFs to Buy,0.0,0.721,0.279,0.4767
